Data Scientist,Dice,"Pittsburgh, PA",On-site,1 hour ago,Full-time · Entry level,https://www.linkedin.com/jobs/view/3593028537/?eBP=CwEAAAGHzZ_6HGjzW-cM7A9dJgCfmrWh_pKmfv6_I_5vpksaYIqHRAm-QtfmKCNaB_uz3o09tGLr2bL4ohLLoyiPqWe6DsPvRooz_9u6kq7pBhH2kb0xHE534SSqaC6d9ayDIlL3cAUlL4aWn1rrcla074c9Gd561Lzbb65YbfW-NWK0yzvH9dh1shEY3F1q2wkIgrLyCXf18x1qCULLl5u8IqT-gu49qA9BdyhyjLaRlG24IQkUhuLs4BU2TYuVryMfwW_iZrPK478I35g6BnCSWv8EmnP9gn0Im0jWAAGRfFA0gyOEEfRO9MUlY3AI-XHXfhXjsWpNrZAM62MMv_tl-Q2upjMqEdwjFzHV&refId=ffI7y%2FOAWcChjx5dJ6v8mQ%3D%3D&trackingId=feajC7jVqECGyNg0X6PTTQ%3D%3D&trk=flagship3_search_srp_jobs,,60
Remote Python Developer,Dice,"Phoenix, AZ",Remote,1 hour ago,$65/hr (from job description) · Full-time · Entry level,https://www.linkedin.com/jobs/view/3593024908/?eBP=JOB_SEARCH_ORGANIC&refId=ebnv1b%2Fv8qXgXPwfVuBP4A%3D%3D&trackingId=oQnoLwXZT5kT3imp2nQxQA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Remote Python DeveloperDuration: 12 Months Rate: $65/hr on W2.Duties may be included as follows:Creates, enhances and maintains systems or software applications by performing moderately complex programming duties. Designs, codes, debugs, tests, documents and implements programs in approved languages.Enhances performance by analysing, developing, recommending and implementing cost effective system enhancements.Meets the business scope and objectives of the enterprise by developing and implementing proactive monitoring of critical business services to ensure availability.Meets business needs by translating user requirements into solutions and by monitoring industry trends. Researches, produces and implements standards documents.Outlines and implements all system configuration, tuning and upgrades.Contributes to team effort by participating in IT projects and coordinating with other IT teams.Develops, maintains, and communicates troubleshooting and recovery procedures and provides support as needed.Maintains technical currency by reviewing trade publications, researching technical documentation, and pursuing training relevant to Company operating environments.Maintains fundamental understanding of client business functions.May interface with vendors to resolve issues.Protects the Company by handling business sensitive information with appropriate confidentiality.Bachelor's degree in computer science or related field or an equivalent combination of education and experience.Top 3 Must Have Skills:Strong understanding of Python webservicesSQR/SQL nice to have.Math is needed for this role - enjoy working with numbers.",60
Data Scientist and Business Intelligence Developer,ATG Financial Technologies,"New York, NY",Hybrid,2 hours ago,"$100,000/yr - $150,000/yr · Full-time",https://www.linkedin.com/jobs/view/3590079213/?eBP=CwEAAAGHzZ812mJDoO9rqvpXDnpTsTrHBJhB_Ki9aE7fU13mPQsC3uVsJ_4xPEokxpxkY3Zw0u2ylArAeUcpTy17dKuVOLAwMfs7GZkPY9o9RTWkbh77mjcEngJ2mdKIJB18loi54plPOol5QYlTRPS-5SfX5xcQfMo2h1J4YWBsXIUctFqgKcx1DFG9ZtjjtOzO_2hoNsgjbAZQQLDMhJFoHgPI4TCa6I0e44aJSdB7DEPgsdgt70GOxqlqWyrCvTWN8Ixn6JHP0UaIw7JyL59w5M7qWI--Rfcy5zZNQPZytW5SYfNPLTKo39S7D7eI0WXLlnOvEt-P59F8ROIpkLD6lUuBrIa4lwU-vu-g_J3f8QBYyMOviSy0rF6uCD7WoCgeVUy9CsA&refId=Olyl3lmAksvbXhqcHPfqqQ%3D%3D&trackingId=EQHTnFAXohpfbWSOS6WQJw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
ATG is looking for two data scientists and/or business intelligence developers working on cutting-edge systems in Blackstone's hedge fund group. Most of the developers are on-site at the Blackstone offices in New York, working alongside the business users.

The position is through ATG Financial Technologies. ATG provides full-time on-site developers and other technology consultants for Blackstone's Alternative Asset Management (BAAM) division at the Park Avenue headquarters. BAAM has the largest fund-of-hedge-funds program in the world and direct-trading hedge funds as well. ATG has provided consultants to Blackstone for 25 years to help them build their industry-leading customized solutions. BAAM technology provides bespoke software solutions for Hedge Fund investment management and performance analysis.",120
Solutions Engineer,Arc XP,"Washington, DC",Hybrid,2 hours ago,Full-time · Entry level,https://www.linkedin.com/jobs/view/3590085005/?eBP=JOB_SEARCH_ORGANIC&refId=P93llo3wD1FMJKW8tgufNQ%3D%3D&trackingId=fZ1OQzhD92oxvpvxXb9ONQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Job Description

Arc XP is a cloud-based digital experience platform that helps enterprise companies, retail brands and media and entertainment organizations create and distribute content, drive digital commerce, and deliver powerful multichannel experiences. A division of The Washington Post, Arc XP has powered the digital transformation of customers across the globe, currently serving over 2,400 sites in more than 25 countries that reach nearly 2 billion unique visitors monthly.

As a Solutions Engineer, you will support team members, clients, and partners to improve knowledge of the Arc platform, and enable the client’s non-Arc resourced developers to be successful during their implementation on Arc XP platform. You will partner with other Arc departments (including platform, product, and account management to ensure customers and partners have the highest level of satisfaction during their entire lifecycle with Arc.

Motivational Fit:

You can navigate various solutions for best fit, even with ambiguous requirements
You have an eye for when tone needs to be adjusted for different context
You are organized, driven and eager to create solutions to customer problems with existing products
You have an aptitude for simplifying and communicating complex ideas
You have an appetite to continually learn, dive deep and ask questions about how products work
You are patient and listen to a multitude of cultural styles and tones

Responsibilities:

Provide technical implementation consultation to clients and partners by answering questions, designing solutions, and advising on Arc’s products and architectural best practices to minimize their time to launch, focusing on feature customization, API best practices, tool configurations, and solution creation.
Become an expert in the Arc products and the technical interfaces that clients use to build on the ArcXP Platform (e.g. PageBuilder, Composer, Photo Center, Video Center, IFX, Exchange) and other developer focused tools.
Maintain full-stack software architecture knowledge that will enable solid solution design recommendations between Arc and the client’s systems.
Capture, write and maintain knowledge documents, that can be used to enhance the efficiency of a client’s onboarding experience, both internally and externally through the internal Arc Learning Center (ALC).

Qualifications:

A successful candidate should have:

BA/BS in Computer Science or related technical field or equivalent practical experience.
0-3 years experience in full-stack software engineering/web development roles with a focus on front end.
Desire to work in client-facing consulting roles, supporting technical and non-technical questions from clients or partners.
Experience in at least one client side programming language; JavaScript (jQuery, Angular, Vue etc.), preferably within the React JavaScript framework.
Experience working with Node.js, HTML, CSS, RESTful APIs, and AWS.
Experience working with Git, Docker, NPM, Postman or equivalent development tools.
Desire to work on architecting and implementing scalable SaaS or Cloud-based applications.
Exceptional written and oral communication skills.
Exceptional critical thinking, judgment, time management, collaboration, teamwork, and problem-solving skills.
Proven ability to use a consultative approach and persuasive communication with stakeholders.
Willingness to travel occasionally for several days at a time and take occasional off-hours meetings with clients and partners.
Desire to learn, be curious, dive deep, network and self-organize, even in ambiguous situations.

Wherever you are in your life or career, The Washington Post offers comprehensive and inclusive benefits for every step of your journey:

Competitive medical, dental and vision coverage
Company-paid pension and 401(k) match
Three weeks of vacation and up to three weeks of paid sick leave
Nine paid holidays and two personal days
20 weeks paid parental leave for any new parent
Robust mental health resources
Backup care and caregiver concierge services
Gender affirming services
Pet insurance
Free Post digital subscription
Leadership and career development program

Benefits may vary based on the job, full-time or part-time schedule, location, and collectively bargained status

The Post strives to provide its readers with high-quality, trustworthy news and information while constantly innovating. That mission is best served by a diverse, multi-generational workforce with varied life experiences and perspectives. All cultures and backgrounds are welcomed.",120
Information Engineer,Deloitte,"Atlanta, GA",Hybrid,2 hours ago,Full-time,https://www.linkedin.com/jobs/view/3588063400/?eBP=JOB_SEARCH_ORGANIC&refId=esOJmGc2G2OwahDUyDFBRA%3D%3D&trackingId=1NipmmxQxvVOe1wU5vJ5Lg%3D%3D&trk=flagship3_search_srp_jobs,,120
Machine Learning Engineer,Alcon,"Fort Worth, TX",unknown,3 hours ago,Full-time · Entry level,https://www.linkedin.com/jobs/view/3588053105/?eBP=JOB_SEARCH_ORGANIC&refId=yRMdgfwIhp1RBPYyKPPJOw%3D%3D&trackingId=yrUC7CzFOoEjf1TWQI8bGA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
At Alcon, we are driven by the meaningful work we do to help people see brilliantly. We innovate boldly, champion progress, and act with speed as the global leader in eye care. Here, you’ll be recognized for your commitment and contributions and see your career like never before. Together, we go above and beyond to make an impact in the lives of our patients and customers.

We foster an inclusive culture and are looking for diverse, talented people to join Alcon. As a Machine Learning Engineer, you will be trusted to work closely with data scientists and business stakeholders to develop solutions that drive business growth and innovation. The ideal candidate will have a deep understanding of machine learning algorithms and techniques and be able to apply this knowledge to develop and deploy models to solve real-world problems. In this role, you would:

Design, develop, and deploy machine learning models for a range of applications, including computer vision, natural language processing, and recommendation systems.
Collaborate with cross-functional teams to identify business requirements and develop innovative solutions that meet those needs.
Develop and implement data processing pipelines to ensure high-quality data is used to train and test machine learning models.
Conduct data analysis to identify patterns, trends, and insights that can be used to inform model development and optimization.
Continuously monitor and evaluate model performance and make recommendations for improvements as necessary.

WHAT YOU'LL BRING TO ALCON:

Key Requirements/Minimum Qualifications:

Bachelor’s Degree or Equivalent years of directly related experience (or high school +10 yrs; Assoc.+6 yrs; M.S.+0 yrs)
The ability to fluently read, write, understand, and communicate in English
2 Years of Relevant Experience

Preferred Qualifications:

Bachelor's or Master's Degree in Computer Science, Mathematics, or a related field
0-3 years of experience in developing and deploying production-level models
Strong experience in Python, specifically in pandas, numpy and scikit-learn
Proficiency in SQL and experience with database management systems
Excellent problem-solving skills and ability to think creatively to develop innovative solutions

HOW YOU CAN THRIVE AT ALCON:

Grow your career and see your impact in a highly collaborative and diverse environment
Join Alcon’s mission to provide top-tier, innovative products and solutions to enhance sight & enhance lives.
Alcon provides robust benefits package including health, life, retirement, flexible time off, and much more!

Additional Position Details:

Work hours: Standard - Monday-Friday, 8 AM - 5 PM
Travel Requirements: Could require up to quarterly travel if remote (less than 10%)
Relocation assistance: no
Sponsorship available: yes

Alcon is an Equal Opportunity Employer and participates in E-Verify. Alcon takes pride in maintaining a diverse environment and our policies are not to discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity, marital or veteran status, disability, or any other legally protected status. Alcon is also committed to working with and providing reasonable accommodation to individuals with disabilities. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, or in order to perform the essential functions of a position, please send an email to alcon.recruitment@alcon.com and let us know the nature of your request and your contact information.",180
Senior Associate Application Engineer,Discover Financial Services,"Riverwoods, IL",On-site,4 hours ago,Full-time · Mid-Senior level,https://www.linkedin.com/jobs/view/3588052247/?eBP=CwEAAAGHzZ_6HPosbHbWxYdk93myuBzvYUX1tfWx_VPIvtkAB0UvKGnslStZVNwwPwHwmEtKKgYqmZ-3DpYwxwnpFJyF-_CIpljteVz4h4di8vR7mu24Z-OuPXuvTY8ebS2sTY4nrBSsvDmjIfqUJYiqOcjd4Sman9IKiCq8wW05prE2DF77OohI_DlTRcCyUuDPTsmUXJL2EGM2Ud7pdP5kFg6n0HOVXbtibPh9Aegnr64NYY-opiejZ5XGMx5xLen5RyfqcSK0g0EcXx6gT6hbjziMEHlnst-CyWlZ2jjfV8q-qniNNeoLKJitcPcluOQt43nw7AVaHTT-LoCrJsApDhUTirnBjzg&refId=ffI7y%2FOAWcChjx5dJ6v8mQ%3D%3D&trackingId=SJiuvGOg5aGJ%2BZygt2Utxw%3D%3D&trk=flagship3_search_srp_jobs,,240
Engineer,Alvand Sepehr Parsian,New York City Metropolitan Area,On-site,4 hours ago,Full-time,https://www.linkedin.com/jobs/view/3592947105/?eBP=JOB_SEARCH_ORGANIC&refId=Dhxa6CB1DyHlgI7GPeHgFg%3D%3D&trackingId=TJtn%2Fw9rRUrSx8m6NpaiNg%3D%3D&trk=flagship3_search_srp_jobs,,240
Software Engineer - Phoenix - (E3),Applied Materials,"Phoenix, AZ",On-site,4 hours ago,"$112,000/yr - $154,000/yr (from job description) · Full-time",https://www.linkedin.com/jobs/view/3590033635/?eBP=JOB_SEARCH_ORGANIC&refId=iGdLkTfSKumc1gFY4s4aRw%3D%3D&trackingId=5pPgGj5Gif8fFGoGqHHYYQ%3D%3D&trk=flagship3_search_srp_jobs,,240
Senior Data Engineer (Remote),Jobot,"Irving, TX",Remote,5 hours ago,"$135,000/yr - $170,000/yr (from job description) · Full-time · Mid-Senior level",https://www.linkedin.com/jobs/view/3590026484/?eBP=JOB_SEARCH_ORGANIC&refId=ffI7y%2FOAWcChjx5dJ6v8mQ%3D%3D&trackingId=Xm%2Fh3ym8vlN3dMV8YMPH5g%3D%3D&trk=flagship3_search_srp_jobs,,300
